dmu,country,year,efficiencies,CO2,material_footprint,foreign_investment,life_expectancy,income,mean_years_in_school,murder,income_share_20,target_input.CO2,target_input.material_footprint,target_input.foreign_investment,target_output.life_expectancy,target_output.income,target_output.mean_years_in_school,target_output.murder,continent
Georgia_2002,Georgia,2002,1,0.788,3.67,445.28,70.4,5.57,11.9,99.99662,6.3,0.7879999999999917,3.6699999999999613,445.27999999999525,70.39999999999927,5.569999999999942,11.899999999999874,99.99661999999894,Asia
Georgia_2003,Georgia,2003,1,0.882,4.07,441.61,70.6,6.23,12,99.99705,6.3,0.8820000000000005,4.070000000000002,441.6100000000002,70.60000000000002,6.230000000000003,12.000000000000005,99.99705000000004,Asia
Georgia_2004,Georgia,2004,0.98803,1.01,4.6,440.39,70.7,6.63,12,99.99748,6.2,0.9979098738685986,4.5449360592059564,435.118345894285,71.09245422007226,6.763863341479438,12,100.40219163834895,Asia
Georgia_2005,Georgia,2005,0.97422,1.19,5.21,442.93,71,7.32,12.1,99.99879,6.2,1.1593233250772237,5.075692877020959,431.5118322493077,72.43757405417755,7.570457784592189,12.099999999999998,101.88547195040346,Asia
Georgia_2006,Georgia,2006,0.97339,1.46,5.65,434.9,71.5,8.05,12.1,99.99884,6.3,1.4211428956576915,5.499628329088489,423.3253735080679,74.04339817464582,8.993974396847685,12.1,103.33866242654574,Asia
Georgia_2007,Georgia,2007,0.96347,1.53,6.45,431.4,72,9.11,12.1,99.999054,6.2,1.4741160211086477,6.214410677222731,415.64290948121703,73.88380825283869,9.110000000000003,12.1,103.0941994461268,Asia
Georgia_2008,Georgia,2008,0.9906,1.28,6.65,437.5,71.5,9.36,12.2,99.999239,6.1,1.2679719020460194,6.084922549620417,433.38883370713637,72.80073354758431,9.359999999999992,12.199999999999998,101.97573637838245,Asia
Georgia_2009,Georgia,2009,0.94957,1.49,6.72,443.86,71.7,9.1,12.2,99.999424,6.1,1.4148544923928152,6.381088717389245,421.474708046,73.82068068789982,9.10000000019507,12.20000000003936,103.19310006738971,Asia
Georgia_2010,Georgia,2010,0.95767,1.52,6.62,442.48,71.9,9.74,12.2,99.999679,5.7,1.4556569862440272,6.339769242716999,423.74941004871994,74.0924951975338,9.739999999968132,12.199999999993567,103.34293381298839,Asia
Georgia_2011,Georgia,2011,0.925,1.91,7.37,442.25,72.2,10.5,12.2,99.999642,5.6,1.766752935022372,6.8172613251909295,409.08192958828886,76.14665386622971,10.638171962558836,12.200000000000001,105.43911846938032,Asia
Georgia_2012,Georgia,2012,0.93608,2.03,7.68,444.13,72.5,11.3,12.5,99.999211,5.9,1.9002487082791883,7.189118265804102,415.74259054577806,78.52700401414695,11.369785530439994,12.5,108.48326391091405,Asia
Georgia_2013,Georgia,2013,0.94578,1.98,8.08,443.91,72.9,11.7,12.6,99.999127,6.1,1.8726449402247052,7.641904604549772,419.8413209164983,78.44061291691209,11.700000000000003,12.6,108.4561083380322,Asia
